Link,Name,Image,Category,Subcategory,Color,Current Price,Original Price,Description,Details,Tag,Status,Remarks,Timestamp
https://singapore.coach.com/men/shoes/cr998-w35.html,RUNNER SNEAKER,https://s7d2.scene7.com/is/image/Coach/cr998_w35_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CR998 W35,SGD 395.00,SGD 395.00,No Description Available,"Nylon, suede and leather upper, Fabric lining and footbed, EVA outsole, Lace-up closure",,,In stock 2 Left in stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/cs018-tau.html,LUCA DRIVER,https://s7d2.scene7.com/is/image/Coach/cs018_tau_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CS018 TAU,SGD 425.00,SGD 425.00,No Description Available,"Suede upper, Man-made leather lining, leather footbed, Rubber outsole, Slip on",,,In stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/cr937-sad.html,C201 SNEAKER IN SIGNATURE CANVAS,https://s7d2.scene7.com/is/image/Coach/cr937_sad_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CR937 SAD,SGD 395.00,SGD 395.00,"Inspired by traditional court shoes, our Signature canvas and smooth leather C201 is a low-top sneaker built for comfort and long wear. The sporty style features a grooved sole for great traction.",Signature coated canvas and leather upper Fabric lining and footbed Rubber outsole Lace-up closure,,,In stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/c8874-blk.html,LOWLINE LOW TOP SNEAKER,https://s7d2.scene7.com/is/image/Coach/c8874_blk_a0?$desktopProductTile$,men-shoes,,C8874 BLK,SGD 295.00,SGD 295.00,"Built for the urban obstacle course, our lightweight Lowline is built with proprietary Coach CitySole technology for maximum comfort and flexibility. An updated take on a classic style, this minimalist low-top sits at the intersection of fashion and function. Crafted of smooth leather, it features a comfortable cushioned insole and a TPU heel counter for added support and stability. Your feet will thank you.",Leather upper Fabric lining and footbed Rubber outsole Lace-up closure,,,In stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/cs020-blk.html,TANNER LOAFER,https://s7d2.scene7.com/is/image/Coach/cs020_blk_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CS020 BLK,SGD 475.00,SGD 475.00,No Description Available,"Leather upper Man-made leather lining, leather footbed Leather outsole Slip on",,,In stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/cu012-opi.html,C301 SNEAKER,https://s7d2.scene7.com/is/image/Coach/cu012_opi_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CU012 OPI,SGD 425.00,SGD 425.00,"A sleek style based on classic running shoes, our sporty C301 sneaker is crafted in a mix of high-shine metallic leather and mesh fabric. Detailed with our iconic Horse and Carriage motif on the tongue and our Signature at the side, the lace-up design is finished with a lightweight EVA sole for all-day comfort and traction.",Metallic man-made leather and mesh upper Fabric lining and footbed Rubber outsole Lace-up closure,,,In stock,2024-09-04 19:36:50
https://singapore.coach.com/men/bag/cv983-chr.html,HITCH BACKPACK IN SIGNATURE CANVAS,https://s7d2.scene7.com/is/image/Coach/cv983_chr_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-bag,,CV983 CHR,"SGD 1,295.00",No Original Price Available,"Combining effortless style and major functionality, our Hitch takes you to work, weekends and everywhere in between. Crafted of our Signature canvas and refined leather, this organized backpack has space for a 15"" laptop, interior multifunction pockets to hold small accessories, and exterior side pockets for easy access to essentials. It's a comfortable lightweight style with leather-covered magnetic snap closures, durable microfiber lining and spacer mesh backing.","Signature coated canvas and refined calf leather Inside zip, cell phone and multifunction pockets Inside laptop sleeve Drawstring and snap closures, fabric lining Top handle with 6.5cm drop Outside snap pockets Adjustable shoulder straps Fits a 38cm laptop 31cm (L) x 42cm (H) x 14.5cm (W)",,,In stock 2 Left in stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/cu011-bhp.html,C301 SNEAKER WITH TIE-DYE,https://s7d2.scene7.com/is/image/Coach/cu011_bhp_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CU011 BHP,SGD 425.00,SGD 425.00,"A sleek style based on classic running shoes, our sporty C301 sneaker is crafted in a mix of suede, leather and canvas printed with our sophisticated spin on a classic tie-dye pattern. Detailed with our name at the heel, the lace-up design is finished with our Signature, lightweight EVA mid-sole and rubber outsole for all-day comfort and traction.","Leather, suede and canvas upper, Fabric lining and footbed, Rubber outsole, Lace-up closure",,,In stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/cp773-bklg.html,C201 SNEAKER,https://s7d2.scene7.com/is/image/Coach/cp773_bklg_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,men-shoes,,CP773 BK/LG,No Current Price Available,No Original Price Available,"Inspired by traditional court shoes, our C201 sneaker is crafted in a mix of velvety suede and smooth leather. The versatile low-top features a grooved sole for great traction.",Suede and leather upper Fabric lining and footbed Rubber outsole Lace-up closure,,,Out of stock,2024-09-04 19:36:50
https://singapore.coach.com/men/shoes/c8897-sad.html,SIGNATURE COIN DRIVER,https://s7d2.scene7.com/is/image/Coach/c8897_sad_a0?$desktopProductTile$,men-shoes,,C8897 SAD,SGD 425.00,SGD 425.00,"A versatile work-to-weekend shoe, this slip-on driver is crafted of smooth leather featuring a classic penny keeper detailed with our Signature coin for an iconic Coach look. It’s finished with a rubber sole for all-day comfort and durability.","Leather upper Man-made leather lining, leather footbed Rubber outsole Slip on",,,In stock,2024-09-04 19:36:50
